均值,标准差,对比度,相异性,同质性/逆差距,角二阶矩,能量(ASM),能量(Energy),熵(Entropy)
0.9927676,58.900146,1.5525898,1.3230352,24.355476,556.6492,23.363626,23.072985,8.228406
0.98641473,58.570854,1.6095425,1.3810396,24.326397,553.4909,23.284822,22.97648,8.235562
0.972874,57.925373,1.6899234,1.4594147,24.287373,549.67035,23.19155,22.866793,8.2443695
0.95686334,57.37154,1.7563788,1.5265063,24.253765,546.3532,23.103518,22.748825,8.251873
0.9452342,56.947876,1.7368306,1.5026965,24.265991,547.4718,23.135693,22.795477,8.249368
0.93275386,56.51899,1.6533309,1.4195148,24.307568,551.90564,23.246284,22.930353,8.239149
0.9276848,56.361366,1.6121864,1.3747236,24.330238,553.87964,23.293589,22.985777,8.234597
0.926906,56.350094,1.5987698,1.3630242,24.335955,554.6962,23.312943,23.008522,8.232756
0.92025113,56.03435,1.5755091,1.3405693,24.347128,555.69635,23.338015,23.038435,8.230434
0.9163428,55.825798,1.5682538,1.3362186,24.34908,555.9863,23.344286,23.045198,8.229814
0.91352206,55.6951,1.5530498,1.3198062,24.35737,556.68463,23.362274,23.069136,8.228203
0.91099924,55.61793,1.5426732,1.3098323,24.362339,557.4184,23.379887,23.089046,8.226505
0.909443,55.544395,1.539682,1.3072441,24.363598,557.34015,23.377842,23.085949,8.226653
0.90697384,55.41821,1.5310379,1.2989817,24.367683,557.7707,23.388714,23.100414,8.225693
0.90168744,55.115746,1.5270711,1.2909015,24.372051,558.3566,23.403862,23.118788,8.224376
0.89845276,54.980377,1.504932,1.2733845,24.380451,559.09247,23.423128,23.143793,8.22266
0.89517474,54.833485,1.4975792,1.2622365,24.386324,559.6751,23.438074,23.163239,8.221325
0.89074576,54.60529,1.4926285,1.2588972,24.387863,559.78534,23.441307,23.16662,8.221039
0.8869549,54.43328,1.4802321,1.2464796,24.39407,560.25525,23.45298,23.18022,8.219954
0.8829575,54.14388,1.4850552,1.2543346,24.389927,559.947,23.446877,23.175797,8.22069
0.8812513,54.054413,1.4940312,1.2603847,24.387114,559.6234,23.438457,23.165592,8.221459
0.87913376,53.97605,1.4771298,1.2424021,24.396177,560.5303,23.461948,23.193684,8.219268
0.8745761,53.60117,1.5064917,1.2737356,24.380363,559.0517,23.425331,23.149794,8.222715
1.163322,62.014374,2.5499415,2.3241,23.854872,505.4588,22.11644,21.581354,8.346129
1.2696799,63.783684,2.2435753,2.016638,24.008865,521.2744,22.498417,22.03719,8.309887
1.2933581,64.19449,2.118443,1.8964331,24.068613,527.4572,22.642956,22.201155,8.295677
0.90327877,55.169228,1.5367646,1.3054715,24.364391,557.35297,23.380419,23.091965,8.226647
0.9000001,55.042736,1.5256243,1.2922534,24.371166,558.1029,23.398096,23.112577,8.224923
0.93015903,56.344837,1.6539077,1.4199007,24.307383,551.4807,23.238981,22.923246,8.240006
0.9296734,56.285027,1.6560003,1.4248556,24.304688,551.47424,23.235584,22.91716,8.240245
0.92329395,56.08017,1.6109058,1.3800282,24.327084,553.47253,23.285387,22.975681,8.235394
0.91974103,55.851063,1.601786,1.3752167,24.329147,553.7982,23.291952,22.983715,8.234831
0.9144772,55.614227,1.5976516,1.3646623,24.334934,554.5056,23.309185,23.005045,8.233195
0.90850896,55.272896,1.5770357,1.3467815,24.343658,555.36346,23.330118,23.029663,8.231198
0.9043893,55.049442,1.5772647,1.3410527,24.346975,555.7843,23.340271,23.041384,8.230282
0.9066348,55.220486,1.5776238,1.3400549,24.34759,555.71277,23.33941,23.041822,8.230426
0.91080904,55.444523,1.5943437,1.355948,24.339699,554.9409,23.320135,23.01879,8.23223
0.90808916,55.338066,1.5872316,1.3497477,24.342726,555.2996,23.329187,23.0296,8.231377
0.9059755,55.285477,1.560267,1.3296524,24.352242,556.14996,23.351713,23.056812,8.229239
0.9009568,55.08637,1.5444121,1.314158,24.359964,556.96576,23.37021,23.079311,8.227537
0.9010378,55.02905,1.5379503,1.3092862,24.362282,557.18176,23.375034,23.085218,8.227117
0.89586985,54.67131,1.5354819,1.3012205,24.36675,557.70123,23.387886,23.100637,8.22587
0.89290243,54.582222,1.5180136,1.2881199,24.372957,558.26056,23.401285,23.11594,8.224511
0.8920293,54.529774,1.530985,1.2981653,24.368166,558.0084,23.39552,23.11007,8.225157
0.8836075,54.021526,1.496486,1.2642388,24.385078,559.3689,23.429344,23.150085,8.221942
0.8817736,53.967175,1.4997544,1.2721081,24.380798,558.98425,23.419733,23.138042,8.222848
0.8780913,53.78209,1.4915884,1.2562668,24.389301,559.85516,23.441227,23.16455,8.220821
0.8761394,53.711754,1.485631,1.2502671,24.392303,560.17944,23.44892,23.173187,8.220125
0.87222826,53.536083,1.4748397,1.2369951,24.399136,560.8659,23.467066,23.196182,8.218463
0.8674257,53.144245,1.471924,1.2383834,24.398106,560.71375,23.46286,23.191202,8.218842
0.86965233,53.299847,1.4858884,1.2505882,24.392145,560.3961,23.454454,23.181204,8.219642
0.8690868,53.312534,1.4787455,1.2446325,24.395023,560.4446,23.45642,23.18227,8.219425
0.8689172,53.21733,1.4965,1.2585282,24.388384,559.891,23.442429,23.166824,8.220775
0.86385745,52.88438,1.4987092,1.2646387,24.385014,559.483,23.432785,23.15451,8.221697
0.856474,52.468544,1.4893041,1.2578838,24.388197,559.655,23.439302,23.165144,8.221232
0.8547321,52.24127,1.4948615,1.2645395,24.384785,559.3662,23.43094,23.15377,8.221948
0.8553689,52.206123,1.4970831,1.2629701,24.385855,559.5983,23.436213,23.159863,8.221445
0.84968674,51.822994,1.5010881,1.2683321,24.383057,559.246,23.427597,23.149776,8.222212
0.8446179,51.408016,1.5223621,1.2858322,24.374605,558.36896,23.406193,23.122374,8.224131
0.84308374,51.36066,1.5130163,1.2776736,24.378605,558.7755,23.416538,23.136723,8.223296
0.8403252,51.212334,1.5073342,1.2741541,24.380186,558.8186,23.417498,23.137201,8.223181
0.8389723,51.09882,1.5146743,1.2756213,24.379915,558.8062,23.41753,23.136883,8.22315
0.833638,50.644447,1.5363088,1.3038708,24.36527,557.4218,23.383324,23.096483,8.226402
0.83005226,50.479393,1.5450228,1.310189,24.362293,557.11743,23.37789,23.09246,8.227091
0.82452434,50.036655,1.5571588,1.3214769,24.356718,556.37506,23.360382,23.071337,8.228743
0.8187579,49.635147,1.5753331,1.3362166,24.349623,555.8233,23.346262,23.054405,8.230093
