cA,cH,cV,cD,mean
205.2566423,-0.111944815,-0.125566751,-0.216525386,51.20065134
203.9584253,-0.112623761,-0.123921404,-0.216178399,50.87642543
202.4022852,-0.115617911,-0.123928679,-0.218489513,50.48606228
200.8441702,-0.113940438,-0.122354991,-0.220481942,50.0968482
199.0884565,-0.116243903,-0.123064124,-0.219304136,49.65746108
197.1987153,-0.113732724,-0.125833421,-0.221896468,49.18431317
195.8922672,-0.112403474,-0.125896714,-0.225553001,48.85710351
192.9783361,-0.114368112,-0.127779768,-0.22713549,48.12726317
188.7874647,-0.114808923,-0.133086892,-0.229770906,47.07744951
188.1101075,-0.11629126,-0.133744112,-0.235564443,46.90612693
187.6072724,-0.117142195,-0.126160321,-0.234887111,46.7822707
185.9018852,-0.119436569,-0.129444154,-0.238812929,46.35354788
184.5267158,-0.115779855,-0.136394189,-0.234579908,46.00999045
184.483572,-0.120294596,-0.12580905,-0.235456247,46.00050303
183.6381703,-0.118231891,-0.131684926,-0.229986279,45.78956681
181.2567589,-0.117252128,-0.126319427,-0.235114113,45.19451832
178.2876115,-0.115962196,-0.130381535,-0.238633878,44.45065847
177.6024879,-0.117146507,-0.130613677,-0.236842914,44.2794712
176.1524169,-0.117254005,-0.131124114,-0.235645183,43.91709839
174.4704204,-0.116865975,-0.131587556,-0.235547508,43.49660483
172.6426169,-0.117529327,-0.131230103,-0.238413345,43.03886102
171.1304845,-0.118994912,-0.132052553,-0.237812415,42.66040616
169.4652866,-0.113856371,-0.133920906,-0.238922412,42.24464674
167.7850515,-0.118900309,-0.129889614,-0.235252882,41.82525217
165.5857452,-0.119851319,-0.133456356,-0.235275069,41.27429062
163.233314,-0.119648409,-0.137008217,-0.235393656,40.68531592
160.0875472,-0.118497343,-0.133819155,-0.234983343,39.90006184
173.6775037,-0.111820903,-0.131955989,-0.23903475,43.29867302
190.8673828,-0.104342861,-0.12431766,-0.225028685,47.60342339
192.3302689,-0.103905534,-0.118274045,-0.220280959,47.9719521
191.6984136,-0.10342124,-0.122048319,-0.221332293,47.81290294
189.9828835,-0.104851191,-0.117765719,-0.227384028,47.38322065
188.5951521,-0.10011021,-0.117023243,-0.225763919,47.03806367
186.1815934,-0.10524017,-0.115473983,-0.228591424,46.43307197
185.6109478,-0.104080209,-0.114547659,-0.226066857,46.29156327
184.5322499,-0.105312241,-0.11422983,-0.230212539,46.02062381
183.9320298,-0.108023328,-0.116559187,-0.228571798,45.86971888
182.6368644,-0.102188771,-0.118019775,-0.233168089,45.54587193
180.2889723,-0.104202971,-0.122375666,-0.234280067,44.95702841
183.0374138,-0.104448569,-0.116498814,-0.231669864,45.64619914
183.0005565,-0.100348372,-0.115918986,-0.230008808,45.63857009
180.9007413,-0.103527115,-0.122065325,-0.23239796,45.11068772
179.0305873,-0.105437701,-0.118657876,-0.236100164,44.64259788
175.5546604,-0.107929403,-0.12110354,-0.239193249,43.77160856
174.8116033,-0.107351525,-0.12321433,-0.237300765,43.58593417
171.9608355,-0.107498424,-0.119783452,-0.23622348,42.87433254
168.9337712,-0.105364736,-0.125106548,-0.239992179,42.11582693
167.0467872,-0.107852087,-0.120967166,-0.243890849,41.64351926
162.8030274,-0.112565241,-0.123609406,-0.243941192,40.58072788
158.6734095,-0.109887798,-0.118401729,-0.249716733,39.54885082
162.4174898,-0.10577986,-0.115754637,-0.246356768,40.48739963
204.3101966,-0.073373233,-0.08632214,-0.169829242,50.995168
209.9032882,-0.069939153,-0.075410477,-0.164668915,52.39831741
207.5813903,-0.073353566,-0.076979537,-0.167801402,51.81581394
203.789211,-0.072720469,-0.081903366,-0.170001011,50.86614655
204.9762117,-0.070386857,-0.080243614,-0.165258982,51.16508055
204.384879,-0.069004148,-0.081565485,-0.167148018,51.01679033
203.37016,-0.068084695,-0.081286252,-0.16917968,50.76290235
202.3883789,-0.067896933,-0.084829406,-0.171201831,50.51611269
200.349667,-0.066960225,-0.082473657,-0.172639992,50.00689827
197.8737546,-0.07076801,-0.087030147,-0.174369653,49.38539671
195.0724756,-0.070333328,-0.090088733,-0.180677267,48.68284407
192.9997738,-0.073013297,-0.089058379,-0.176249009,48.16536328
189.3155784,-0.074678281,-0.090454479,-0.182355459,47.24202255
187.8566214,-0.073899673,-0.089698044,-0.184218654,46.87720127
185.6496888,-0.074423296,-0.090051052,-0.185513546,46.32492522
182.6252934,-0.073753267,-0.089083744,-0.187951428,45.56862623
180.5811889,-0.076390298,-0.088641915,-0.192457512,45.05592479
177.0865279,-0.077774487,-0.0926071,-0.193374822,44.18069288
175.0536294,-0.073311814,-0.092273691,-0.195677535,43.6730916
173.0248014,-0.07704505,-0.090564995,-0.196833205,43.16508954
170.9941442,-0.077653747,-0.092182067,-0.202270305,42.65550952
168.9430018,-0.076108748,-0.090875587,-0.202648903,42.14334214
165.6003598,-0.078872904,-0.087554081,-0.206329814,41.30690076
162.561679,-0.077951361,-0.093054766,-0.206746832,40.54598151
160.6632808,-0.079499328,-0.093761192,-0.208391764,40.07040714
158.4175824,-0.075729785,-0.091609476,-0.213239465,39.50925092
156.2588738,-0.075110868,-0.096981178,-0.217291253,38.96737263
153.4831015,-0.07846046,-0.090727117,-0.220575723,38.27333454
151.3853798,-0.075138199,-0.094765297,-0.219301372,37.74904374
150.4940987,-0.077712589,-0.092730408,-0.22203497,37.52540518
192.3369107,-0.063608764,-0.082236832,-0.16951999,48.00538628
190.0852033,-0.061787442,-0.085107698,-0.172626979,47.44142029
185.8229388,-0.063070662,-0.082229541,-0.176283574,46.37533875
184.3059977,-0.065798828,-0.083334686,-0.175976681,45.99522188
196.5897119,-0.061564922,-0.077090921,-0.169966071,49.0702725
195.7107784,-0.06131465,-0.07715515,-0.172642093,48.84991662
190.2765558,-0.060023816,-0.079214331,-0.175960742,47.49033924
188.5987162,-0.064219745,-0.078993699,-0.176534801,47.06974198
187.8358468,-0.064725949,-0.081694835,-0.178310751,46.87777882
185.6223111,-0.062740186,-0.081618747,-0.183618585,46.32358338
182.791016,-0.064865944,-0.081667505,-0.18661964,45.61446573
210.8391454,-0.057688521,-0.079723049,-0.159763595,52.63549255
214.5040768,-0.060546466,-0.07520413,-0.150588949,53.55443432
209.5956118,-0.061678217,-0.08091171,-0.157449811,52.32389303
207.8431427,-0.061924273,-0.076607293,-0.158798345,51.88645319
205.4843757,-0.062005986,-0.077324812,-0.161465562,51.29589484
206.0820161,-0.061834368,-0.083988131,-0.160050039,51.44403588
205.6079021,-0.060807044,-0.079752567,-0.161704063,51.32640961
203.6024961,-0.06044491,-0.079733733,-0.166827768,50.82387243
